"label","file_name"
"Weekend","weekend"
"Weekday","weekday"
"Monday","day_monday"
"Tuesday","day_tuesday"
"Wednesday","day_wednesday"
"Thursday","day_thursday"
"Friday","day_friday"
"Saturday","day_saturday"
"Sunday","day_sunday"
"January","month00"
"July","month06"
"August","month07"
"September","month08"
"October","month09"
"November","month10"
"December","month11"
